Model,Partition,Params,Train_Acc,Train_F1,Val_Acc,Val_F1,Test_Acc,Test_F1,Acc_Std,F1_Std
LogisticRegression,0.2,{'C': 0.1},0.8222885324713001,0.5640504270028467,0.8222055146024664,0.5638574281658426,0.814685894248301,0.5563492063492064,0.003503586126883561,0.010885518855801942
LogisticRegression,0.5,{'C': 0.1},0.8238843578012068,0.5728530073978771,0.8228892157526447,0.5695745767202254,0.8204363105894834,0.5619540601747007,0.00578613085116886,0.018194906294688416
LogisticRegression,0.8,{'C': 0.1},0.824104774535809,0.5562526139690506,0.8227804638777941,0.5521209285534286,0.819477828429341,0.5606213435545693,0.006330178333655567,0.01932586790030575
LinearSVC,0.2,{'C': 1},0.8212524348294583,0.545377885527564,0.8210865325772103,0.5446180319205758,0.8123653240510526,0.5337726523887973,0.0047654371811858155,0.013343583563805474
LinearSVC,0.5,{'C': 10},0.8201710761885816,0.5438950554994954,0.8204359425677131,0.5477124973940383,0.8193753729858763,0.5368922135328119,0.004455822614659393,0.016602156092405784
LinearSVC,0.8,{'C': 0.01},0.8246021220159151,0.5431778929188255,0.8224498880906157,0.5366645389389626,0.8179859096560298,0.5406818657184689,0.008163402403309473,0.02213296541911558
KNeighborsClassifier,0.2,{'n_neighbors': 25},0.8462431099506817,0.6576859199114228,0.8322763957750441,0.6256503165524642,0.8233051549809381,0.6176470588235293,0.0033307027287857362,0.007611951413375969
KNeighborsClassifier,0.5,{'n_neighbors': 25},0.8456335786751542,0.6605424321959755,0.8313767518983936,0.6273789181264388,0.8252105298057159,0.6149576394975167,0.005444523497835085,0.014457864763019617
KNeighborsClassifier,0.8,{'n_neighbors': 15},0.8416777188328912,0.6367440091289462,0.8183049128837998,0.581343634225679,0.8244923331951927,0.615174920490686,0.007668978292379195,0.013418569555411068
RandomForestClassifier,0.2,"{'max_features': 2, 'n_estimators': 1024}",0.9999585560943264,0.9999164229001254,0.8559825899864508,0.6860632455627886,0.8511519973479198,0.6824611032531825,0.003360002895327758,0.009041417790283474
RandomForestClassifier,0.5,"{'max_features': 1, 'n_estimators': 1024}",1.0,1.0,0.8559108245143128,0.6829494614759871,0.8476891452821431,0.6668600435097898,0.006724165826369794,0.015445318832770921
RandomForestClassifier,0.8,"{'max_features': 4, 'n_estimators': 1024}",0.9998342175066313,0.999657416923604,0.8499676431430256,0.6622977415848015,0.8481558226274347,0.6764965565954442,0.00480694515110092,0.008388853293889609
GradientBoostingClassifier,0.2,{'n_estimators': 512},0.8879356790583944,0.7539133600291227,0.8701148828989776,0.7140052223907883,0.8625890933200729,0.7067562787407146,0.004269055046492941,0.01133666882109873
GradientBoostingClassifier,0.5,{'n_estimators': 512},0.895497646044692,0.7739529546758462,0.8689737596590146,0.7152552924985182,0.8656587759432398,0.7082373271889402,0.003877564004524905,0.010888669731996262
GradientBoostingClassifier,0.8,{'n_estimators': 128},0.884449602122016,0.73036750483559,0.8624005078171694,0.6799994357738919,0.860132615002072,0.6919214970333182,0.0026213260435952327,0.013849853146947479
