Model,Partition,Params,Train_Acc,Train_F1,Val_Acc,Val_F1,Test_Acc,Test_F1,Acc_Std,F1_Std
LogisticRegression,0.2,{'C': 0.01},0.9846666666666667,0.9848659318966935,0.9771666666666666,0.9774886805621117,0.9796666666666667,0.9791310297639412,0.0019965247584518386,0.002007277080782138
LogisticRegression,0.5,{'C': 0.01},0.984,0.9840848806366047,0.9757333333333333,0.9758726528586268,0.9766666666666667,0.9768365320979483,0.00489171635409178,0.0048414777341368245
LogisticRegression,0.8,{'C': 0.01},0.989,0.9893376413570274,0.9763333333333334,0.9771697953949076,0.9779166666666667,0.9779405643885791,0.006863753427324685,0.006477467788284614
LinearSVC,0.2,{'C': 0.001},0.9848333333333333,0.9850304326369468,0.9774166666666666,0.9777601722533547,0.9803333333333333,0.9798428425008541,0.0018142950880897836,0.0018148967652569226
LinearSVC,0.5,{'C': 0.001},0.9844,0.9844848163373557,0.9754666666666667,0.9756508661473117,0.9772,0.9773959021810972,0.004203702072115851,0.00415674604850178
LinearSVC,0.8,{'C': 0.001},0.9903333333333333,0.9906179230022647,0.9766666666666668,0.9774748495004847,0.9785833333333334,0.9786171894500375,0.007601169500660911,0.007259731197348841
KNeighborsClassifier,0.2,{'n_neighbors': 2},0.9965,0.9965139442231075,0.9829166666666668,0.9830731441921298,0.9846666666666667,0.9841924398625429,0.0026744677559802084,0.0026337498807376854
KNeighborsClassifier,0.5,{'n_neighbors': 2},0.9952,0.995172968624296,0.9804,0.9804309510362212,0.984,0.9840255591054313,0.003641733408999375,0.0036279651973376826
KNeighborsClassifier,0.8,{'n_neighbors': 3},0.9836666666666667,0.9842393052428433,0.9766666666666666,0.9776341692054175,0.9755,0.9757545769421079,0.005773502691896262,0.005440784278305931
RandomForestClassifier,0.2,"{'max_features': 12, 'n_estimators': 1024}",1.0,1.0,0.9880833333333333,0.9882370615471265,0.9876666666666667,0.9873590707208746,0.002260776661041743,0.002253190665175986
RandomForestClassifier,0.5,"{'max_features': 6, 'n_estimators': 1024}",1.0,1.0,0.9861333333333333,0.9862262753122637,0.9868,0.9869168759085503,0.003081125335544378,0.0030454895360599063
RandomForestClassifier,0.8,"{'max_features': 12, 'n_estimators': 1024}",1.0,1.0,0.9853333333333334,0.9858051350173144,0.9855833333333334,0.9856037280519263,0.005206833117271067,0.004991185333718537
GradientBoostingClassifier,0.2,{'n_estimators': 1024},1.0,1.0,0.9883333333333333,0.9884509838811596,0.9916666666666667,0.9914236706689536,0.0021889875894272786,0.0021844654160722366
GradientBoostingClassifier,0.5,{'n_estimators': 1024},1.0,1.0,0.9853333333333334,0.9853872830133399,0.9897333333333334,0.9897783087747245,0.001520233900132182,0.001519395908148638
GradientBoostingClassifier,0.8,{'n_estimators': 512},1.0,1.0,0.985,0.9854779532583573,0.9845,0.9845077461269366,0.006055300708194976,0.005824588377762975
