Model,Partition,Params,Train_Acc,Train_F1,Val_Acc,Val_F1,Test_Acc,Test_F1,Acc_Std,F1_Std
LogisticRegression,0.2,{'C': 10},0.9643022003385137,0.9651127819548873,0.9641480428732161,0.9649496573667864,0.9655384615384616,0.9681456200227531,0.002317471604143374,0.00220362095026863
LogisticRegression,0.5,{'C': 1000},0.9773510585918267,0.9775828460038987,0.9746444779718733,0.9749617230285612,0.9741506646971935,0.9754730203223546,0.004003910360484895,0.00392545077896141
LogisticRegression,0.8,{'C': 1000},0.9821428571428571,0.9824773413897281,0.9753694207027539,0.9758081950115342,0.9793846153846154,0.9800950683303625,0.005148766770118126,0.0051161447333242255
LinearSVC,0.2,{'C': 1},0.9503000461609479,0.9514504734706148,0.9496852016343933,0.9508386968880174,0.9495384615384616,0.9535147392290249,0.004945894974697173,0.0049354159460108914
LinearSVC,0.5,{'C': 1},0.9549483013293943,0.9556363636363636,0.9547037366925393,0.955390910476367,0.9549483013293943,0.9572529782761037,0.005230106924857427,0.005064083962546669
LinearSVC,0.8,{'C': 10},0.9562807881773399,0.9569436021831412,0.9532060778727445,0.9542312751577404,0.9576923076923077,0.958936837389876,0.005262302185426827,0.005512390535253545
KNeighborsClassifier,0.2,{'n_neighbors': 1},1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
KNeighborsClassifier,0.5,{'n_neighbors': 1},1.0,1.0,0.9997536945812808,0.9997575757575758,1.0,1.0,0.0004926108374384341,0.000484848484848488
KNeighborsClassifier,0.8,{'n_neighbors': 1},1.0,1.0,0.9987673314339981,0.9987951697921487,0.9989230769230769,0.9989652623798966,0.001509707491237823,0.0014756207740642213
RandomForestClassifier,0.2,"{'max_features': 1, 'n_estimators': 1024}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
RandomForestClassifier,0.5,"{'max_features': 12, 'n_estimators': 1024}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
RandomForestClassifier,0.8,"{'max_features': 6, 'n_estimators': 1024}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
GradientBoostingClassifier,0.2,{'n_estimators': 64},1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
GradientBoostingClassifier,0.5,{'n_estimators': 64},1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
GradientBoostingClassifier,0.8,{'n_estimators': 128},1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
