Model,Partition,Params,Train_Acc,Train_F1,Val_Acc,Val_F1,Test_Acc,Test_F1,Acc_Std,F1_Std
LogisticRegression,0.2,{'C': 0.1},0.7439071566731141,0.8064893306050861,0.7429400386847196,0.8056038951349385,0.7362722351121423,0.80231884057971,0.005879568337938383,0.00433056475183813
LogisticRegression,0.5,{'C': 1},0.7455896007428041,0.804564907275321,0.7465185830290793,0.8051571459460792,0.7385519801980198,0.8028004667444575,0.014689415154032761,0.012170592225237338
LogisticRegression,0.8,{'C': 0.1},0.7569659442724458,0.8172293364377182,0.7569453174104337,0.8172177617329837,0.7410558886095533,0.8061386998696974,0.020354699028771458,0.014573979571542429
LinearSVC,0.2,{'C': 1},0.7452611218568665,0.8078774617067833,0.7437137330754352,0.8068342900157107,0.740139211136891,0.8057803468208093,0.00547084550241039,0.0028196774041596567
LinearSVC,0.5,{'C': 0.01},0.7443515939337666,0.8038004750593823,0.7471372995631181,0.8057027345170843,0.7336014851485149,0.7990665110851808,0.014733512053249518,0.012513364190978989
LinearSVC,0.8,{'C': 1},0.7639318885448917,0.8217416715371128,0.7538385561641376,0.8136698272178716,0.7408625024173274,0.8051192553810355,0.02487062180730847,0.016890818580147883
KNeighborsClassifier,0.2,{'n_neighbors': 1},1.0,1.0,0.7725338491295939,0.8216453973427262,0.7664346481051817,0.8180722891566266,0.014962537412621827,0.011833220131659569
KNeighborsClassifier,0.5,{'n_neighbors': 1},1.0,1.0,0.7530143888678875,0.8041802016709978,0.7537128712871287,0.8063260340632602,0.01501414281025524,0.012120353547520077
KNeighborsClassifier,0.8,{'n_neighbors': 25},0.7739938080495357,0.8292397660818713,0.7569453174104337,0.8186511552540108,0.7368013923805841,0.8057102069950036,0.016426009465499998,0.012691183247985115
RandomForestClassifier,0.2,"{'max_features': 2, 'n_estimators': 1024}",1.0,1.0,0.8243713733075435,0.8648945643431997,0.8306264501160093,0.8700296735905044,0.009467882592278846,0.00770739831934258
RandomForestClassifier,0.5,"{'max_features': 2, 'n_estimators': 1024}",1.0,1.0,0.8139878744957676,0.8558419725625717,0.8032178217821783,0.849146110056926,0.005537535008155706,0.0038172503565827866
RandomForestClassifier,0.8,"{'max_features': 4, 'n_estimators': 1024}",1.0,1.0,0.7708898267037803,0.8252516113300498,0.7824405337458905,0.83669618231964,0.015688787537842964,0.011698999001897083
GradientBoostingClassifier,0.2,{'n_estimators': 1024},0.9437137330754352,0.9559824534866133,0.7938104448742747,0.8409716131721421,0.7880897138437741,0.8372921615201899,0.00793744082347515,0.005154510884979022
GradientBoostingClassifier,0.5,{'n_estimators': 1024},0.9780253791395853,0.982550995330548,0.7966614189806729,0.8414758984253521,0.7797029702970297,0.8282682103232031,0.013053045455263965,0.01143863834366319
GradientBoostingClassifier,0.8,{'n_estimators': 64},0.8575851393188855,0.892018779342723,0.7608063212714375,0.8187255239930297,0.761748211177722,0.8217592592592593,0.023705088354085004,0.017917643163269412
